level,credits,course_2,title_2,course_1,gen_ed,title_1,special
None,3.00,GEN EL,General Elective,BIOLOGY 200,None,Writing in Biology,None
None,3.00,BIOS 202,General Microbiology,BIOLOGY 210,None,Elements of Bacteriology,None
None,3.00,BIOS EL,Biological Sciences Elective,BIOLOGY 214,None,Ecology and Society,None
None,2.00,GEN EL,General Elective,BIOLOGY 221,None,School Health,None
None,1.00,GEN EL,General Elective,BIOLOGY 230,None,Human Sexuality,None
None,1.00,GEN EL,General Elective,BIOLOGY 240,None,Human Inheritance,None
None,3.00,GEN EL,General Elective,BIOLOGY 247,None,Bioethics,None
None,4.00,GEN EL,General Elective,BIOLOGY 251,None,Introduction to Genetics,None
None,3.00,BIOS 301,Cell Biology,BIOLOGY 253,None,Intro to Cell Biology,None
None,2.00,GEN EL,General Elective,BIOLOGY 254,None,Biotechnology Laboratory I,None
None,3.00,BIOS 305,Principles of Ecology,BIOLOGY 257,None,Introduction to Ecology,None
None,4.00,BIOS 207,Research Process in Biology,BIOLOGY 303,None,Biostatistics,None
None,3.00,GEN EL,General Elective,CHICANO 150,None,Introduction Chicano St,None
None,3.00,GEN EL,General Elective,CHICANO 200,None,Chican@ Literature to 1980,None
None,3.00,GEN EL,General Elective,CHICANO 201,None,Contemporary Chicano Lit,None
None,3.00,BUS 100,Introduction to Business,BEINDP 101,None,Business and Society,None
None,3.00,GEN EL,General Elective,AFRIAMR 100,None,Introductn Black Culture,None
None,3.00,GEN EL,General Elective,AFRIAMR 120,None,Modern Blk Amer History,None
None,3.00,GEN EL,General Elective,AFRIAMR 141,None,Modern Blk Amer History,None
None,3.00,GEN EL,General Elective,AFRIAMR 260,None,The Black Family,None
None,3.00,GEN EL,General Elective,AFRIAMR 261,None,African-American Politics,None
None,3.00,GEN EL,General Elective,AFRIAMR 270,None,Afri Am Comunty Soc Persp,None
None,2.00,ART 100,Foundtn of Art & Visual Cultur,ARTHIST 111,None,Art Appreciation,None
None,3.00,ART 125,Survey of World Art,ARTHIST 201,None,Srvy Art Ancient-1400ce,None
None,3.00,ART 126,Modern & Contmp Art 1900-Pres,ARTHIST 202,None,Art Survey 1400 to 1900,None
None,3.00,GEN EL,General Elective,ARTHIST 203,None,Modern & Contemporary Art,None
None,1.00,GEN EL,General Elective,CIFLD 160,None,Intro Teaching Music,None
None,9.00,GEN EL,General Elective,CIFLD 200E,None,Pre-Profess Block Elem,None
None,9.00,GEN EL,General Elective,CIFLD 200F,None,Pre-Profess Block Sec,None
None,1.00-3.00,GEN EL,General Elective,CIFLD 210,None,Observation/Participation,None
None,1.00-3.00,GEN EL,General Elective,CIFLD 210E,None,Obsrv Part-Elementary,None
None,1.00-3.00,GEN EL,General Elective,CIFLD 210F,None,Obsrv Part-Secondary Educ,None
None,3.00,GEN EL,General Elective,ACINDP 105,None,World of the Arts,None
None,6.00,GEN EL,General Elective,ACINDP 105A,None,Arts 105 & Fresh Engl 102,None
None,3.00,GEN EL,General Elective,ACINDP 150,None,Intro Multimedia Studies,None
None,3.00,GEN EL,General Elective,ACINDP 151,None,Intro Multimed Aesthetics,None
None,1.00-2.00,GEN EL,General Elective,ACINDP 200,None,Arts Management Practicum,None
None,3.00,GEN EL,General Elective,ACINDP 215,None,Fine Arts Western Culture,None
None,4.00,CHEM 109,Environmental Chemistry,CHEM 100,None,Everyday Chemistry (Gl),None
None,5.00,CHEM 101,General Chemistry I,CHEM 102,None,General Chemistry I,None
None,5.00,CHEM 102,General Chemistry II,CHEM 104,None,General Chemistry II,None
None,5.00,GEN EL,General Elective,CHEM 109,None,Elements of Chemistry,None
None,5.00,GEN EL,General Elective,CHEM 110,None,Elements of Chemistry,None
None,3.00,CHEM 321,Organic Chemistry I,CHEM 251,None,Organic Chemistry,None
None,3.00,CHEM 322,Organic Chemistry II,CHEM 252,None,Organic Chemistry,None
None,4.00,CHEM 310,Inorganic Chemistry,CHEM 260,None,Inorganic Chemistry,None
None,2.00,CHEM 323,Organic Chemistry Lab,CHEM 261,None,Organic Chemistry Lab,None
None,2.00,CHEM 401,Advanced Organic Laboratory,CHEM 262,None,Organic Chemistry Lab,None
None,3.00,GEN EL,General Elective,CIGENRL 214,None,Infrm Ed Consmr,None
None,3.00,GEN EL,General Elective,COACHING 100,None,Wiaa Pri First Aid,None
None,2.00,HESM 283,Orientation to Coaching,COACHING 240,None,Introduction to Coaching,None
None,2.00,GEN EL,General Elective,COACHING 250,None,App Mechan Princpl Coach,None
None,1.00,GEN EL,General Elective,COACHING 251,None,Coach Women Athletics,None
None,3.00,GEN EL,General Elective,COACHING 252,None,Teach and Coach Sports Skills,None
None,2.00,HESM 301,Sport Conditioning Prac Design,COACHING 255,None,Conditioning Intrsch Spts,None
