	to	level	credits	course_2	title_2	course_1	from_	gen_ed	title_1,special
2052	9999	L	3.0	CTA EL	Communication and Theatre Arts Elective	SPEECH (810) 254	Madison Area Tech. College	FA	
2053	9999	L	2.0	CTA 131	Theatre Laboratory	SPEECH (810) 260	Madison Area Tech. College	AP	
2054	9999		3.0	NDC	No Degree Credit	SOCSCI (809) 103	Madison Area Tech. College		
2055	9999		3.0	NDC	No Degree Credit	SOCSCI (809) 105	Madison Area Tech. College		
2056	9999	L	3.0	ECO EL	Economics Elective	SOCSCI (809) 111	Madison Area Tech. College	SS	
2057	9999		3.0	NDC	No Degree Credit	SOCSCI (809) 115	Madison Area Tech. College		
2058	9999		1.0	NDC	No Degree Credit	SOCSCI (809) 117	Madison Area Tech. College		
2059	9999	L	3.0	POL 104	Amer Gov & Politics	SOCSCI (809) 122	Madison Area Tech. College	UCTA,SS	
2060	9999	L	3.0	GEN EL	General Elective	SOCSCI (809) 125	Madison Area Tech. College	SS	
2061	9999		3.0	NDC	No Degree Credit	SOCSCI (809) 127	Madison Area Tech. College		
2062	9999		3.0	NDC	No Degree Credit	SOCSCI (809) 128	Madison Area Tech. College		
2063	9999		3.0	NDC	No Degree Credit	SOCSCI (809) 131	Madison Area Tech. College		
2064	9999		3.0	NDC	No Degree Credit	SOCSCI (809) 133	Madison Area Tech. College		
2065	9999		3.0	NDC	No Degree Credit	SOCSCI (809) 136	Madison Area Tech. College		
2066	9999		3.0	NDC	No Degree Credit	SOCSCI (809) 137	Madison Area Tech. College		
2067	9999	L	3.0	ECO EL	Economics Elective	SOCSCI (809) 143	Madison Area Tech. College		
2068	9999		3.0	NDC	No Degree Credit	SOCSCI (809) 145	Madison Area Tech. College		
2069	9999	L	3.0	GEN EL	General Elective	SOCSCI (809) 151	Madison Area Tech. College	SS	
2070	9999	L	3.0	ART EL	Art Elective	ART (815) 221	Madison Area Tech. College	AP	
2071	9999	L	2.0	ART EL	Art Elective	ART (815) 223	Madison Area Tech. College	AP	
2072	9999	L	3.0	ART EL	Art Elective	ART (815) 224	Madison Area Tech. College		
2073	9999	L	2.0	ART EL	Art Elective	ART (815) 225	Madison Area Tech. College		
2074	9999	L	3.0	ART EL	Art Elective	ART (815) 226	Madison Area Tech. College	AP	
2075	9999	L	2.0	ART EL	Art Elective	ART (815) 230	Madison Area Tech. College	AP	
2076	9999	L	3.0	ART 161	Introduction to Photography	ART (815) 234	Madison Area Tech. College	AP	
2077	9999	L	3.0	ART EL	Art Elective	ART (815) 235	Madison Area Tech. College	AP	
2078	9999	L	3.0	ART EL	Art Elective	ART (815) 236	Madison Area Tech. College	AP	
2079	9999	L	3.0	ART EL	Art Elective	ART (815) 237	Madison Area Tech. College	AP	
2080	9999	L	3.0	ART 121	Intro to Painting	ART (815) 241	Madison Area Tech. College	AP	
2081	9999	L	3.0	ART EL	Art Elective	ART (815) 242	Madison Area Tech. College	AP	
2082	9999	L	3.0	ART EL	Art Elective	ART (815) 253	Madison Area Tech. College	AP	
2083	9999	L	3.0	ART EL	Art Elective	ART (815) 254	Madison Area Tech. College	AP	
2084	9999	L	3.0	ART 141	Intro to Printmaking	ART (815) 255	Madison Area Tech. College	AP	
2085	9999	L	3.0	ART EL	Art Elective	ART (815) 256	Madison Area Tech. College	AP	
2086	9999	L	2.0	ART EL	Art Elective	ART (815) 262	Madison Area Tech. College	AP	
2087	9999	L	2.0	ART EL	Art Elective	ART (815) 270	Madison Area Tech. College	AP	
2088	9999	L	3.0	ENG 267	Contemporary Literature	COMMSK (801) 229	Madison Area Tech. College	HU	
